Key,en,he,it,es,fr,ar
item_Thermometer,Thermometer,מדחום,Termometro,Termómetro,Thermomètre,ميزان حرارة
item_Burn_bite_ointments_Fenistil_Aloe_Vera_,Ointments,משחות,Unguenti,Ungüentos,Pommades,مراهم
item_Burn_ointments,Burn Ointments,משחות לכוויות,Pomate per ustioni,Ungüentos para quemaduras,Pommades pour brûlures,مراهم حروق
item_Bite_ointments,Bite Ointments,משחות לעקיצות,Pomate per punture,Ungüentos para picaduras,Pommades pour piqûres,مراهم لدغات
item_Replacement_light_bulbs,Light Bulbs,נורות,Lampadine,Bombillas,Ampoules,مصابيح إضاءة
item_Batteries_AA_AAA_,Batteries,סוללות,Batterie,Pilas,Piles,بطاريات
item_AA_Batteries,AA Batteries,סוללות AA,Batterie AA,Pilas AA,Piles AA,بطاريات AA
item_AAA_Batteries,AAA Batteries,סוללות AAA,Batterie AAA,Pilas AAA,Piles AAA,بطاريات AAA
item_Mobile_phone_chargers_and_cables,Chargers,מטענים,Caricabatterie,Cargadores,Chargeurs,شواحن
item_Mobile_phone_chargers,Phone Chargers,מטענים לנייד,Caricabatterie telefono,Cargadores de móvil,Chargeurs de téléphone,شواحن هواتف
item_Charging_cables,Charging Cables,כבלי הטענה,Cavi di ricarica,Cables de carga,Câbles de charge,كابلات شحن
item_Extension_cords_power_strips,Extension Cords,כבלים מאריכים,Prolunghe,Cables extensores,Rallonges,وصلات كهرباء
item_Extension_cords,Extension Cords,כבלים מאריכים,Prolunghe,Cables extensores,Rallonges,وصلات كهرباء
item_Power_strips,Power Strips,מפצלי חשמל,Prese multiple,Regletas,Multiprises,مشتركات كهربائية
item_Flashlight_and_portable_work_light,Flashlight,פנס,Torcia,Linterna,Lampe de poche,كشاف
item_Flashlight,Flashlight,פנס,Torcia,Linterna,Lampe de poche,كشاف
item_Portable_work_light,Work Light,תאורת עבודה,Faretto da lavoro,Luz de trabajo,Lampe de travail,مصباح عمل
item_Matches_lighter,Matches / Lighter,גפרורים/מצית,Fiammiferi/Accendino,Cerillas/Encendedor,Allumettes/Briquet,كبريت/ولاعة
item_Matches,Matches,גפרורים,Fiammiferi,Cerillas,Allumettes,كبريت
item_Lighter,Lighter,מצית,Accendino,Encendedor,Briquet,ولاعة
item_Emergency_Shabbat_candles,Candles,נרות,Candele,Velas,Bougies,شموع
item_Emergency_candles,Emergency Candles,נרות חירום,Candele d'emergenza,Velas de emergencia,Bougies de secours,شموع طوارئ
item_Shabbat_candles,Shabbat Candles,נרות שבת,Candele di Shabbat,Velas de Shabat,Bougies de Shabbat,شموع السبت
item_Scissors,Scissors,מספריים,Forbici,Tijeras,Ciseaux,مقص
item_Scotch_tape_contact_adhesive,Tape & Glue,סלוטייפ ודבק,Nastro e colla,Cinta y pegamento,Ruban et colle,شريط لاصق
item_Scotch_tape,Scotch Tape,סלוטייפ,Nastro adesivo,Cinta adhesiva,Ruban adhésif,شريط لاصق
item_Contact_adhesive,Contact Adhesive,דבק מגע,Adesivo a contatto,Adhesivo de contacto,Colle de contact,غراء لاصق
item_Basic_tools_hammer_Phillips_flathead_screwdriver_nails_pliers_,Basic Tools,כלי עבודה בסיסיים,Strumenti di base,Herramientas básicas,Outils de base,أدوات أساسية
item_Basic_hammer,Hammer,פטיש,Martello,Martillo,Marteau,مطرقة
item_Basic_screwdriver,Screwdriver,מברג,Cacciavite,Destornillador,Tournevis,مفك
item_Basic_nails,Nails,מסמרים,Chiodi,Clavos,Clous,مسامير
item_Basic_pliers,Pliers,פלייר,Pinze,Alicates,Pinces,كماشة
item_Duct_tape_and_super_glue,Duct Tape,מסקינטייפ,Nastro adesivo,Cinta americana,Ruban adhésif,شريط لاصق قوي
item_Duct_tape,Duct Tape,מסקינטייפ,Nastro adesivo,Cinta americana,Ruban adhésif,شريط لاصق قوي
item_Super_glue,Super Glue,דבק מהיר,Super colla,Superpegamento,Super glue,غراء سريع
item_Printer_paper_A4_,Printer Paper,נייר מדפסת,Carta stampante,Papel de impresora,Papier imprimante,ورق طابعة
item_Pens_pencils_and_highlighters,Pens & Pencils,עטים ועפרונות,Penne e matite,Bolígrafos y lápices,Stylos et crayons,أقلام
item_Pens,Pens,עטים,Penne,Bolígrafos,Stylos,أقلام حبر
item_Pencils,Pencils,עפרונות,Matite,Lápices,Crayons,أقلام رصاص
item_Highlighters,Highlighters,מרקרים,Evidenziatori,Resaltadores,Surligneurs,أقلام تحديد
item_Notebooks_and_sticky_notes,Notebooks,מחברות,Quaderni,Cuadernos,Cahiers,دفاتر
item_Notebooks,Notebooks,מחברות,Quaderni,Cuadernos,Cahiers,دفاتر
item_Sticky_notes,Sticky Notes,פתקיות,Foglietti adesivi,Notas adhesivas,Notes autocollantes,ملاحظات لاصقة
item_Stapler_staples_and_paperclips,Stapler,שדכן,Cucitrice,Grapadora,Agrafeuse,دباسة
item_Stapler,Stapler,שדכן,Cucitrice,Grapadora,Agrafeuse,دباسة
item_Staples,Staples,סיכות לשדכן,Punti metallici,Grapas,Agrafes,دبابيس
item_Paperclips,Paperclips,אטבי נייר,Graffette,Clips,Trombones,مشابك ورق
item_Hammer,Hammer,פטיש,Martello,Martillo,Marteau,مطرقة
item_Screwdriver_set_Phillips_and_flathead_various_sizes_,Screwdriver,מברג,Cacciavite,Destornillador,Tournevis,مفك
item_Phillips_screwdriver,Phillips Screwdriver,מברג פיליפס,Cacciavite a stella,Destornillador Phillips,Tournevis cruciforme,مفك صليبة
item_Flathead_screwdriver,Flathead Screwdriver,מברג שטוח,Cacciavite piatto,Destornillador plano,Tournevis plat,مفك عادي
item_Pliers_locking_pliers,Pliers,פלייר,Pinze,Alicates,Pinces,كماشة
item_Pliers,Pliers,פלייר,Pinze,Alicates,Pinces,كماشة
item_Locking_pliers,Locking Pliers,פלייר פטנט,Pinza a scatto,Mordaza,Pince-étau,كماشة كبس
item_Adjustable_wrench,Wrench,מפתח שוודי,Chiave inglese,Llave inglesa,Clé à molette,مفتاح ربط
item_Utility_knife_and_replacement_blades_,Utility Knife,סכין יפנית,Taglierino,Cúter,Cutter,مشرط
item_Utility_knife,Utility Knife,סכין יפנית,Taglierino,Cúter,Cutter,مشرط
item_Replacement_blades,Replacement Blades,להבים להחלפה,Lame di ricambio,Cuchillas de repuesto,Lames de rechange,شفرات بديلة
item_Measuring_tape,Measuring Tape,סרט מידה,Metro a nastro,Cinta métrica,Mètre ruban,شريط قياس
item_Small_level,Level,פלס,Livella,Nivel,Niveau,ميزان ماء
item_Pipe_wrench,Pipe Wrench,מפתח צינורות,Girattubi,Llave de tubo,Clé serre-tubes,مفتاح أنابيب
item_Allen_wrench_set_Hex_keys_,Allen Wrench,מפתחות אלן,Chiavi a brugola,Llaves Allen,Clés Allen,مفتاح ألين
item_Allen_wrench_set,Allen Wrench Set,סט מפתחות אלן,Set di chiavi a brugola,Juego de llaves Allen,Jeu de clés Allen,طقم مفاتيح ألين
item_Hex_keys,Hex Keys,מפתחות משושה,Chiavi esagonali,Llaves hexagonales,Clés hexagonales,مفاتيح سداسية
item_Box_of_nails_various_sizes_,Nails,מסמרים,Chiodi,Clavos,Clous,مسامير
item_Screws_and_wall_plugs_set_matching_,Screws & Plugs,ברגים ודיבלים,Viti e tasselli,Tornillos y tacos,Vis et chevilles,براغي ومسامير
item_Screws,Screws,ברגים,Viti,Tornillos,Vis,براغي
item_Wall_plugs,Wall Plugs,דיבלים,Tasselli,Tacos,Chevilles,خابور جداري
item_Electrical_tape,Electrical Tape,איזולירבנד,Nastro isolante,Cinta aislante,Ruban isolant,شريط كهربائي
item_Cable_ties_various_sizes_,Cable Ties,אזיקונים,Fascette,Bridas,Serre-câbles,روابط كابلات
item_Sandpaper_coarse_and_fine_,Sandpaper,נייר לטש,Carta vetrata,Papel de lija,Papier de verre,ورق صنفرة
item_Lubricant_and_penetrating_oil_spray_e_g_WD_40_,Lubricant Spray,תרסיס שימון (WD-40),Lubrificante,Lubricante,Lubrifiant,بخاخ تشحيم
item_Lubricant_spray,Lubricant Spray,תרסיס שימון,Spray lubrificante,Spray lubricante,Spray lubrifiant,بخاخ تشحيم
item_Penetrating_oil,Penetrating Oil,שמן חודר,Olio sbloccante,Aceite penetrante,Huile pénétrante,زيت اختراق
item_Wood_glue_super_glue_epoxy_resin,Glue,דבק,Colla,Pegamento,Colle,صمغ
item_Wood_glue,Wood Glue,דבק עץ,Colla per legno,Pegamento para madera,Colle à bois,غراء خشب
item_Epoxy_resin,Epoxy Resin,אפוקסי,Resina epossidica,Resina epoxi,Résine époxy,راتنج إيبوكسي
item_Safety_goggles_and_work_gloves,Safety Gear,ציוד מגן,Dispositivi sicurezza,Equipo de seguridad,Équipement de sécurité,معدات سلامة
item_Safety_goggles,Safety Goggles,משקפי מגן,Occhiali di sicurezza,Gafas de seguridad,Lunettes de sécurité,نظارات واقية
item_Work_gloves,Work Gloves,כפפות עבודה,Guanti da lavoro,Guantes de trabajo,Gants de travail,قفازات عمل
item_Cordless_drill_driver,Cordless Drill,מקדחה/מברגה,Trapano a batteria,Taladro inalámbrico,Perceuse sans fil,مثقاب لاسلكي
item_Cordless_drill,Cordless Drill,מקדחה נטענת,Trapano a batteria,Taladro inalámbrico,Perceuse sans fil,مثقاب لاسلكي
item_Drill_driver,Drill Driver,מברגה,Avvitatore,Atornillador,Visseuse,مفك براغي كهربائي
item_Drill_bit_set_for_wood_masonry_and_metal_,Drill Bits,מקדחים,Punte per trapano,Brocas,Forets,ريش مثقاب
item_Wood_drill_bit,Wood Drill Bit,מקדח עץ,Punta per legno,Broca para madera,Foret à bois,ريشة خشب
item_Masonry_drill_bit,Masonry Drill Bit,מקדח קיר,Punta per muro,Broca para mampostería,Foret à maçonnerie,ريشة جدار
item_Metal_drill_bit,Metal Drill Bit,מקדח מתכת,Punta per metallo,Broca para metal,Foret à métaux,ريشة معدن
item_Screwdriver_bit_set,Screwdriver Bits,ביטים למברגה,Punte cacciavite,Puntas destornillador,Embouts tournevis,لقم مفك
item_Electric_sander_or_jigsaw,Sander / Jigsaw,מסור/מלטשת,Levigatrice/Seghetto,Lijadora/Sierra,Ponceuse/Scie,صنفرة / منشار
item_Electric_sander,Electric Sander,מלטשת חשמלית,Levigatrice,Lijadora eléctrica,Ponceuse électrique,صنفرة كهربائية
item_Jigsaw,Jigsaw,מסור אנכי (ג'יגסו),Seghetto alternativo,Sierra de calar,Scie sauteuse,منشار أركت
item_Pills_for_adults_paracetamol_based_ibuprofen_based_Optalgin_,Adult Pills,כדורים למבוגרים,Pillole adulti,Pastillas adultos,Pilules adultes,حبوب كبار
item_Paracetamol,Paracetamol,פרצטמול,Paracetamolo,Paracetamol,Paracétamol,باراسيتامول
item_Ibuprofen,Ibuprofen,איבופרופן,Ibuprofene,Ibuprofeno,Ibuprofène,إيبوبروفين
item_Optalgin,Optalgin,אופטלגין,Optalgin,Optalgin,Optalgine,أوبتالجين
item_Syrup_or_suppositories_for_children_s_fever,Children's Syrup,סירופ לילדים,Sciroppo bambini,Jarabe niños,Sirop enfants,شراب أطفال
item_Children_s_fever_syrup,Children's Fever Syrup,סירופ חום לילדים,Sciroppo febbre bambini,Jarabe fiebre niños,Sirop fièvre enfants,شراب حمى أطفال
item_Suppositories,Suppositories,נרות (רפואי),Supposte,Supositorios,Suppositoires,تحاميل
item_Band_aids_in_various_sizes_and_shapes,Band-aids,פלסטרים,Cerotti,Tiritas,Pansements,بلاستر
item_Personal_bandages_and_sterile_gauze_pads,Bandages,תחבושות,Bende,Vendas,Bandages,ضمادات
item_Personal_bandages,Personal Bandages,תחבושות אישיות,Bende personali,Vendas personales,Bandages personnels,ضمادات شخصية
item_Sterile_gauze_pads,Sterile Gauze Pads,פדי גזה סטריליים,Garze sterili,Gasas estériles,Compresses stériles,وسادات شاش معقمة
item_Medical_adhesive_tape_Micropore_,Medical Tape,סרט רפואי,Nastro medico,Cinta médica,Ruban médical,شريط طبي
item_Antiseptic_Polydine_Savlon_or_antiseptic_spray_,Antiseptic,חומר חיטוי,Antisettico,Antiséptico,Antiseptique,مطهر
item_Savlon,Savlon,סבלון,Savlon,Savlon,Savlon,سافلون
item_Antiseptic_spray,Antiseptic Spray,תרסיס חיטוי,Spray antisettico,Spray antiséptico,Spray antiseptique,بخاخ مطهر
item_Medical_alcohol_70__,Medical Alcohol,אלכוהול רפואי,Alcol medico,Alcohol médico,Alcool médical,كحول طبي
item_Tweezers_for_removing_splinters_thorns_,Tweezers,פינצטה,Pinzette,Pinzas,Pinces à épiler,ملقط
item_Cold_hot_compress_gel_packs,Gel Compress,קומפרס ג'ל,Impacco gel,Compresa de gel,Compresse de gel,كمادة جل
item_Cold_compress,Cold Compress,קומפרס קר,Impacco freddo,Compresa fría,Compresse froide,كمادة باردة
item_Hot_compress,Hot Compress,קומפרס חם,Impacco caldo,Compresa caliente,Compresse chaude,كمادة ساخنة
item_Gel_or_ointment_for_burns,Burn Gel,ג'ל לכוויות,Gel ustioni,Gel para quemaduras,Gel brûlures,جل حروق
item_Burn_gel,Burn Gel,ג'ל כוויות,Gel ustioni,Gel quemaduras,Gel brûlures,جل حروق
item_Ointment_for_bites_and_itching,Bite Ointment,משחה לעקיצות,Pomata punture,Ungüento picaduras,Pommade piqûres,مرهم لدغات
item_Anti_itch_ointment,Anti-itch Ointment,משחה נגד גירוד,Pomata prurito,Ungüento picor,Pommade anti-démangeaisons,مرهم مضاد للحكة
item_Antibiotic_ointment_for_minor_skin_infections,Antibiotic Ointment,משחה אנטיביוטית,Pomata antibiotica,Ungüento antibiótico,Pommade antibiotique,مرهم مضاد حيوي
item_Muscle_relief_cream_e_g_BenGay_Voltaren_,Muscle Cream,קרם שרירים,Crema muscoli,Crema muscular,Crème musculaire,كريم عضلات
item_Muscle_relief_cream,Muscle Relief Cream,משחה לשרירים,Crema muscolare,Crema muscular,Crème musculaire,كريم عضلات
item_Voltaren,Voltaren,וולטרן,Voltaren,Voltaren,Voltarène,فولتارين
item_Thermometer_digital_or_regular_,Thermometer,מדחום,Termometro,Termómetro,Thermomètre,ميزان حرارة
item_Digital_thermometer,Digital Thermometer,מדחום דיגיטלי,Termometro digitale,Termómetro digital,Thermomètre numérique,مقياس حرارة رقمي
item_Regular_thermometer,Regular Thermometer,מדחום רגיל,Termometro normale,Termómetro normal,Thermomètre classique,مقياس حرارة عادي
item_Lozenges_for_sore_throat,Lozenges,לכסניות גרון,Pastiglie,Pastillas,Pastilles,أقراص استحلاب
item_Cough_syrup,Cough Syrup,סירופ שיעול,Sciroppo tosse,Jarabe tos,Sirop toux,شراب سعال
item_Nasal_drops_or_spray_saline_or_medicated_,Nasal Spray,טיפות אף,Spray nasale,Aerosol nasal,Spray nasal,قطرة أنف
item_Nasal_drops,Nasal Drops,טיפות אף,Gocce nasali,Gotas nasales,Gouttes nasales,قطرة أنف
item_Nasal_spray,Nasal Spray,תרסיס אף,Spray nasale,Spray nasal,Spray nasal,بخاخ أنف
item_Allergy_medicines_antihistamines_,Allergy Meds,תרופות לאלרגיה,Antistaminici,Antihistamínicos,Antihistaminiques,أدوية حساسية
item_Allergy_medicines,Allergy Medicines,תרופות אלרגיה,Medicine allergia,Medicinas alergia,Médicaments allergie,أدوية حساسية
item_Antihistamines,Antihistamines,אנטיהיסטמינים,Antistaminici,Antihistamínicos,Antihistaminiques,مضادات الهيستامين
item_Pills_for_nausea_or_upset_stomach,Nausea Pills,כדורים לבחילות,Pillole nausea,Pastillas náuseas,Pilules nausée,حبوب غثيان
item_Nausea_pills,Nausea Pills,כדורי בחילה,Pillole nausea,Pastillas náuseas,Pilules nausée,حبوب غثيان
item_Upset_stomach_pills,Stomach Pills,כדורי בטן,Pillole stomaco,Pastillas estómago,Pilules estomac,حبوب معدة
item_Eye_drops_lubricating_or_allergy_,Eye Drops,טיפות עיניים,Collirio,Gotas ojos,Gouttes pour les yeux,قطرة عين
item_Lubricating_eye_drops,Lubricating Eye Drops,טיפות עיניים ליובש,Collirio idratante,Gotas lubricantes,Gouttes hydratantes,قطرة مرطبة للعين
item_Allergy_eye_drops,Allergy Eye Drops,טיפות עיניים לאלרגיה,Collirio allergia,Gotas alergia,Gouttes allergie,قطرة حساسية للعين
item_Antacids_for_heartburn_reflux_,Antacids,נוגדי חומצה,Antiacidi,Antiácidos,Antiacides,مضادات حموضة
item_Heartburn_medicine,Heartburn Medicine,תרופה לצרבת,Medicina bruciore,Medicina acidez,Médicament brûlures,دواء حرقة
item_Saucepan_small_pot,Saucepan,סיר קטן/קלחת,Casseruola,Cazo,Casserole,قدر صغير
item_Saucepan,Saucepan,קלחת,Casseruola,Cazo,Casserole,قدر صغير
item_Small_pot,Small Pot,סיר קטן,Pentola piccola,Olla pequeña,Petite marmite,قدر صغير
item_Medium_pot,Medium Pot,סיר בינוני,Pentola media,Olla mediana,Marmite moyenne,قدر متوسط
item_Large_pot,Large Pot,סיר גדול,Pentola grande,Olla grande,Grande marmite,قدر كبير
item_Medium_large_frying_pan,Frying Pan,מחבת,Padella,Sartén,Poêle,مقلاة
item_Small_pan_for_omelets_,Small Pan,מחבת קטנה,Padellina,Sartén pequeña,Petite poêle,مقلاة صغيرة
item_Baking_dishes_Pyrex_glass_metal_or_disposable_aluminum_,Baking Dish,תבנית אפייה,Teglia,Fuente de horno,Plat à four,صينية خبز
item_Pyrex_baking_dish,Pyrex Dish,תבנית פיירקס,Pirofila Pyrex,Fuente Pyrex,Plat Pyrex,صينية بايركس
item_Metal_baking_dish,Metal Baking Dish,תבנית מתכת,Teglia metallo,Bandeja metal,Plat métal,صينية معدنية
item_Disposable_aluminum_baking_dish,Aluminum Dish,תבנית אלומיניום חד פעמית,Vaschetta alluminio,Bandeja aluminio,Barquette alu,صينية ألمنيوم
item_English_cake_pan_springform_pan,Cake Pan,תבנית עוגה,Tortiera,Molde para pastel,Moule à gâteau,صينية كيك
item_English_cake_pan,Cake Pan,תבנית אינגליש קייק,Stampo plumcake,Molde bizcocho,Moule à cake,قالب كيك
item_Springform_pan,Springform Pan,תבנית קפיצית,Tortiera apribile,Molde desmontable,Moule à charnière,قالب متحرك
item_Wok_or_stir_fry_pan,Wok,ווק,Wok,Wok,Wok,مقلاة ووك
item_Wok,Wok,ווק,Wok,Wok,Wok,مقلاة ووك
item_Stir_fry_pan,Stir-fry Pan,מחבת הקפצה,Padella per saltare,Sartén saltear,Poêle à sauter,مقلاة قلي سريع
item_Flat_baking_sheets,Baking Sheet,תבנית שטוחה,Teglia piana,Bandeja de horno,Plaque de cuisson,صينية مسطحة
item_Dinner_plates_large_,Dinner Plates,צלחות (גדולות),Piatti piani,Platos llanos,Assiettes plates,أطباق عشاء
item_Appetizer_plates_small_,Small Plates,צלחות קטנות,Piattini,Platos pequeños,Petites assiettes,أطباق صغيرة
item_Deep_bowls_for_soup_cereal_,Bowls,קערות מרק,Ciotole,Cuencos,Bols,أوعية شوربة
item_Soup_bowl,Soup Bowl,קערת מרק,Ciotola zuppa,Cuenco sopa,Bol à soupe,وعاء شوربة
item_Cereal_bowl,Cereal Bowl,קערת קורנפלקס,Ciotola cereali,Cuenco cereales,Bol à céréales,وعاء حبوب
item_Cutlery_knives_forks_spoons_teaspoons,Cutlery,סכו"ם,Posate,Cubiertos,Couverts,أدوات مائدة
item_Table_Knives,Table Knives,סכיני שולחן,Coltelli da tavola,Cuchillos de mesa,Couteaux de table,سكاكين مائدة
item_Forks,Forks,מזלגות,Forchette,Tenedores,Fourchettes,شوك
item_Spoons,Spoons,כפות,Cucchiai,Cucharas,Cuillères,ملاعق
item_Teaspoons,Teaspoons,כפיות,Cucchiaini,Cucharaditas,Cuillères à café,ملاعق صغيرة
item_Glasses_for_cold_drinks,Glasses,כוסות שתייה,Bicchieri,Vasos,Verres,أكواب
item_Mugs_for_hot_drinks_coffee_tea_,Mugs,ספלים,Tazze,Tazas,Tasses,أكواب قهوة
item_Coffee_mug,Coffee Mug,ספל קפה,Tazza caffè,Taza café,Mug café,كوب قهوة
item_Tea_mug,Tea Mug,ספל תה,Tazza tè,Taza té,Mug thé,كوب شاي
item_Serving_bowls_large_salad_bowls,Serving Bowls,קערות הגשה,Ciotole da portata,Cuencos de servir,Bols de service,أوعية تقديم
item_Serving_bowl,Serving Bowl,קערת הגשה,Ciotola portata,Cuenco servir,Bol de service,وعاء تقديم
item_Large_salad_bowl,Large Salad Bowl,קערת סלט גדולה,Insalatiera,Ensaladera,Saladier,وعاء سلطة كبير
item_Pitcher_for_water_or_juice,Pitcher,קנקן,Brocca,Jarra,Pichet,إبريق
item_Water_pitcher,Water Pitcher,קנקן מים,Brocca acqua,Jarra agua,Pichet eau,إبريق ماء
item_Juice_pitcher,Juice Pitcher,קנקן מיץ,Brocca succo,Jarra zumo,Pichet jus,إبريق عصير
item_Chef_s_knife,Chef's Knife,סכין שף,Coltello chef,Cuchillo de chef,Couteau de chef,سكين طاه
item_Bread_knife_serrated_,Bread Knife,סכין לחם,Coltello pane,Cuchillo de pan,Couteau à pain,سكين خبز
item_Small_paring_knives,Paring Knife,סכין קילוף,Spelucchino,Cuchillo de pelar,Couteau d'office,سكين تقشير
item_Cutting_board_wood_or_high_quality_plastic_,Cutting Board,קרש חיתוך,Tagliere,Tabla de cortar,Planche à découper,لوح تقطيع
item_Spatula_metal_or_silicone_,Spatula,מרית (תרבד),Spatola,Espátula,Spatule,ملعقة مسطحة
item_Soup_ladle,Ladle,מצקת,Mestolo,Cucharón,Louche,مغرفة
item_Wooden_spoon_silicone_spoon_for_stirring,Wooden Spoon,כף עץ,Cucchiaio legno,Cuchara madera,Cuillère en bois,ملعقة خشبية
item_Wooden_spoon,Wooden Spoon,כף עץ,Cucchiaio legno,Cuchara madera,Cuillère en bois,ملعقة خشبية
item_Silicone_spoon,Silicone Spoon,כף סיליקון,Cucchiaio silicone,Cuchara silicona,Cuillère silicone,ملعقة سيليكون
item_Whisk,Whisk,מטרפה,Frusta,Batidor,Fouet,مخفقة
item_Vegetable_peeler,Peeler,קולפן,Pelapatate,Pelador,Éplucheur,قشارة
item_Grater,Grater,פומפייה,Grattugia,Rallador,Râpe,مبشرة
item_Can_opener,Can Opener,פותחן קופסאות,Apriscatole,Abrelatas,Ouvre-boîte,فتاحة علب
item_Bottle_and_wine_opener_corkscrew_,Corkscrew,פותחן בקבוקים,Cavatappi,Sacacorchos,Tire-bouchon,فتاحة زجاجات
item_Bottle_opener,Bottle Opener,פותחן בקבוקים,Apribottiglie,Abrebotellas,Décapsuleur,فتاحة زجاجات
item_Wine_opener,Wine Opener,פותחן יין,Cavatappi,Sacacorchos,Tire-bouchon,فتاحة نبيذ
item_Large_colander,Colander,מסננת,Scolapasta,Escurridor,Passoire,مصفاة
item_Small_strainer,Strainer,מסננת קטנה,Colino,Colador,Tamis,مصفاة صغيرة
item_Measuring_cup_kitchen_scale,Measuring Cup,כוס מידה,Misurino,Taza medidora,Verre doseur,كوب قياس
item_Measuring_cup,Measuring Cup,כוס מידה,Misurino,Taza medidora,Verre doseur,كوب قياس
item_Kitchen_scale,Kitchen Scale,משקל מטבח,Bilancia cucina,Báscula cocina,Balance de cuisine,ميزان مطبخ
item_Kitchen_tongs,Tongs,מלקחיים,Pinze,Pinzas,Pinces,ملقط مطبخ
item_Garlic_press,Garlic Press,כותש שום,Schiaccia aglio,Prensa ajos,Presse-ail,هراسة ثوم
item_Rolling_pin,Rolling Pin,מערוך,Mattarello,Rodillo,Rouleau à pâtisserie,نشابة
item_Plastic_or_glass_containers_for_food_storage,Food Containers,קופסאות אחסון,Contenitori cibo,Recipientes comida,Boîtes de conservation,حاويات طعام
item_Plastic_food_container,Plastic Container,קופסת פלסטיק,Contenitore plastica,Recipiente plástico,Boîte en plastique,حاوية بلاستيك
item_Glass_food_container,Glass Container,קופסת זכוכית,Contenitore vetro,Recipiente vidrio,Boîte en verre,حاوية زجاج
item_Airtight_containers_jars_for_dry_food_storage,Jars,צנצנות,Barattoli,Tarros,Bocaux,برطمانات
item_Airtight_container,Airtight Container,קופסה אטומה,Contenitore ermetico,Recipiente hermético,Boîte hermétique,حاوية محكمة
item_Glass_jar,Glass Jar,צנצנת זכוכית,Barattolo vetro,Tarro vidrio,Bocal en verre,برطمان زجاجي
item_Dish_drying_rack,Drying Rack,מתקן ייבוש כלים,Scolapiatti,Escurreplatos,Égouttoir,رف تجفيف
item_Spice_rack_or_organizers,Spice Rack,מעמד תבלינים,Portaspezie,Especiero,Étagère à épices,رف بهارات
item_Electric_kettle_water_dispenser,Electric Kettle,קומקום חשמלי,Bollitore elettrico,Hervidor eléctrico,Bouilloire électrique,غلاية كهربائية
item_Electric_kettle,Electric Kettle,קומקום חשמלי,Bollitore elettrico,Hervidor eléctrico,Bouilloire électrique,غلاية كهربائية
item_Water_dispenser,Water Dispenser,בר מים/תמי 4,Erogatore acqua,Dispensador agua,Distributeur d'eau,موزع مياه
item_Pop_up_toaster_or_sandwich_press,Toaster,טוסטר,Tostapane,Tostadora,Grille-pain,محمصة خبز
item_Pop_up_toaster,Toaster,מצנם (טוסטר קופץ),Tostapane,Tostadora,Grille-pain,محمصة خبز
item_Sandwich_press,Sandwich Press,טוסטר לחיץ,Tostiera,Sandwichera,Appareil croque-monsieur,محمصة سندويشات
item_Microwave,Microwave,מיקרוגל,Microonde,Microondas,Micro-ondes,ميكروويف
item_Hand_blender,Hand Blender,בלנדר מוט,Frullatore immersione,Batidora de mano,Mixeur plongeant,خلاط يدوي
item_Coffee_maker_or_espresso_machine,Coffee Maker,מכונת קפה,Macchina caffè,Cafetera,Machine à café,صانعة قهوة
item_Coffee_maker,Coffee Maker,מכונת קפה,Macchina caffè,Cafetera,Machine à café,صانعة قهوة
item_Espresso_machine,Espresso Machine,מכונת אספרסו,Macchina espresso,Máquina espresso,Machine à expresso,ماكينة اسبريسو
item_Television,Television,טלוויזיה,Televisione,Televisión,Télévision,تلفزيון
item_Laptop_Desktop_computer,Laptop / PC,מחשב/לפטופ,Computer portatile,Ordenador,Ordinateur,كمبيوتر
item_Laptop,Laptop,מחשב נייד,Portatile,Portátil,Ordinateur portable,لابتوب
item_Desktop_computer,Desktop Computer,מחשב נייח,Computer fisso,Ordenador sobremesa,Ordinateur de bureau,كمبيوتر مكتبي
item_Computer_monitor,Monitor,מסך מחשב,Monitor,Monitor,Écran,شاشة
item_Keyboard_and_mouse,Keyboard & Mouse,מקלדת ועכבר,Tastiera e mouse,Teclado y ratón,Clavier et souris,لوحة مفاتيح وماوس
item_Keyboard,Keyboard,מקלדת,Tastiera,Teclado,Clavier,لوحة مفاتيح
item_Mouse,Mouse,עכבר,Mouse,Ratón,Souris,ماوس
item_Printer_and_ink_toner_cartridges,Printer,מדפסת,Stampante,Impresora,Imprimante,طابعة
item_Printer,Printer,מדפסת,Stampante,Impresora,Imprimante,طابعة
item_Ink_cartridges,Ink Cartridges,ראשי דיו,Cartucce inchiostro,Cartuchos tinta,Cartouches d'encre,خراطيش حبر
item_Toner_cartridges,Toner Cartridges,טונר למדפסת,Cartucce toner,Cartuchos tóner,Cartouches toner,حبر طابعة
item_External_hard_drive_SSD,External Drive,כונן חיצוני,Disco esterno,Disco externo,Disque externe,قرص صلب خارجي
item_External_hard_drive,External Hard Drive,כונן קשיח חיצוני,Hard disk esterno,Disco duro externo,Disque dur externe,قرص صلب خارجي
item_SSD,SSD,כונן SSD,SSD,SSD,SSD,قرص SSD
item_USB_flash_drives,USB Drive,דיסק און קי,Chiavetta USB,Memoria USB,Clé USB,فلاش ميموري
item_Webcam,Webcam,מצלמת רשת,Webcam,Cámara web,Webcam,كاميرا ويب
item_Router_internet_router_,Router,ראוטר,Router,Router,Routeur,راوتر
item_Speakers_Soundbar,Speakers,רמקולים,Altoparlanti,Altavoces,Haut-parleurs,مكبرات صوت
